section,theme,name,name_es,price,period,period_es,features,features_es,cta_url,cta_label,cta_label_es,badge,badge_es
gv,brand,Print Only,Solo Impresa,$36/yr,6 mo $15 · 1 yr $36 · 2 yr $68 · 3 yr $90,"6 meses $15 · 1 año $36 · 2 años $68 · 3 años $90","+12 monthly print issues mailed|+Stories from AA members worldwide|+6-mo / 1-yr / 2-yr / 3-yr plans|-No digital/app access","+12 ediciones impresas mensuales por correo|+Historias de miembros de AA en todo el mundo|+Planes de 6 meses / 1 año / 2 años / 3 años|-Sin acceso digital/app",https://www.aagrapevine.org/store/us-subscriptions,Subscribe,Suscribirse,,
gv,brand,Digital Only,Solo Digital,$2.99/mo,"$2.99/month or $29.99/year · 2 yr $49 · 3 yr $69","$2.99/mes o $29.99/año · 2 años $49 · 3 años $69","+Full website & app access|+Story archive (1944–present)|+Audio Grapevine|+Podcast access in-app|+1-yr / 2-yr / 3-yr plans available","+Acceso completo al sitio web y app|+Archivo de historias (1944–presente)|+Audio Grapevine|+Acceso al podcast en la app|+Planes de 1 año / 2 años / 3 años disponibles",https://www.aagrapevine.org/store/us-subscriptions,Subscribe,Suscribirse,,
gv,brand-highlight,"Complete (Print + Digital)","Completa (Impresa + Digital)",$56/yr,"$6/month · 1 yr $56 · 2 yr $98 · 3 yr $130","$6/mes · 1 año $56 · 2 años $98 · 3 años $130","+12 monthly print issues|+Full digital & app access|+Complete story archive|+Audio Grapevine|+Best value — print + digital|+Monthly / 1-yr / 2-yr / 3-yr plans","+12 ediciones impresas mensuales|+Acceso completo digital y app|+Archivo completo de historias|+Audio Grapevine|+Mejor valor — impresa + digital|+Planes mensuales / 1 año / 2 años / 3 años",https://www.aagrapevine.org/store/us-subscriptions,Subscribe,Suscribirse,Best Value,Mejor Valor
lv,amber,La Viña Print,La Viña Impresa,$18/yr,6 mo $7.50 · 1 yr $18 · 2 yr $34 · 3 yr $45,"6 meses $7.50 · 1 año $18 · 2 años $34 · 3 años $45","+Bimonthly print issues mailed (6/yr)|+Stories in Spanish from AA members|+6-mo / 1-yr / 2-yr / 3-yr plans","+Ediciones bimestrales impresas por correo (6/año)|+Historias en español de miembros de AA|+Planes de 6 meses / 1 año / 2 años / 3 años",https://www.aalavina.org/tienda/suscripcion-revista-impresa-la-vina-6-meses,Suscribirse,Suscribirse,,
lv,amber,La Viña Digital,La Viña Digital,$2.99/mo,"$2.99/month or $14.99/year · 2 yr $24 · 3 yr $32","$2.99/mes o $14.99/año · 2 años $24 · 3 años $32","+Bimonthly magazine in Spanish|+Full La Viña archive|+Audio of each article|+Podcast in Spanish|+1-yr / 2-yr / 3-yr plans available","+Revista bimestral en español|+Archivo completo de La Viña|+Audio de cada artículo|+Podcast en español|+Planes de 1 año / 2 años / 3 años disponibles",https://www.aalavina.org,Suscribirse,Suscribirse,,
lv,amber-highlight,"La Viña Complete","La Viña Completa",$28/yr,"$4/month · 1 yr $28 · 2 yr $49 · 3 yr $65","$4/mes · 1 año $28 · 2 años $49 · 3 años $65","+Bimonthly print issues|+Full digital & app access|+Complete La Viña archive|+Audio of each article|+Best value — print + digital|+Monthly / 1-yr / 2-yr / 3-yr plans","+Ediciones bimestrales impresas|+Acceso completo digital y app|+Archivo completo de La Viña|+Audio de cada artículo|+Mejor valor — impresa + digital|+Planes mensuales / 1 año / 2 años / 3 años",https://www.aalavina.org,Suscribirse,Suscribirse,Best Value,Mejor Valor
